chr1	875499	876094	peak1	770.180
chr1	877024	877650	peak2	896.870
chr1	935294	935777	peak3	135.790
chr1	959957	960518	peak4	118.890
chr1	993625	994076	peak5	123.010
chr1	1014937	1015606	peak6	116.350
chr1	1051345	1052046	peak7	510.150
chr1	1097743	1099003	peak8	446.470
chr1	1111709	1112193	peak9	108.390
chr1	1120324	1120832	peak10	805.430
chr1	1136670	1137190	peak11	972.180
chr1	1153213	1153890	peak12	423.470
chr1	1167140	1167627	peak13	628.870
chr1	1209007	1209527	peak14	132.740
chr1	1219218	1219488	peak15	200.450
chr1	1223166	1223606	peak16	163.260
chr1	1242607	1244323	peak17	779.390
chr1	1310319	1310965	peak18	257.900
chr1	1342326	1343009	peak19	355.140
chr1	1368525	1369080	peak20	100.570
chr1	1550502	1551182	peak21	224.160
chr1	1709903	1710780	peak22	194.560
chr1	1850707	1851315	peak23	137.510
chr1	1950942	1951411	peak24	991.340
chr1	2126249	2126819	peak25	137.650
chr1	2158900	2159309	peak26	145.360
chr1	2322512	2323465	peak27	366.910
chr1	2343749	2344301	peak28	133.830
chr1	2457427	2458118	peak29	458.070
chr1	3269590	3269957	peak30	192.820
chr1	3370753	3371443	peak31	112.240
chr1	3388361	3388804	peak32	118.550
chr1	3426647	3427892	peak33	799.310
chr1	3471612	3472141	peak34	293.690
chr1	3529856	3530390	peak35	146.820
chr1	3566168	3566974	peak36	300.370
chr1	3568528	3569109	peak37	862.050
chr1	3712831	3713287	peak38	115.720
chr1	3816314	3818003	peak39	3100.000
chr1	6230869	6231269	peak40	131.610
chr1	6280154	6280759	peak41	169.290
chr1	6309100	6309487	peak42	171.910
chr1	6319993	6320438	peak43	166.060
chr1	6320904	6321396	peak44	122.060
chr1	6453547	6454205	peak45	110.450
chr1	6484220	6484940	peak46	398.180
chr1	6507148	6507510	peak47	102.910
chr1	6507761	6508393	peak48	753.420
chr1	6673056	6673969	peak49	498.970
chr1	6761592	6762294	peak50	579.480
chr1	6845048	6845700	peak51	157.220
chr1	8021377	8022073	peak52	116.620
chr1	8106076	8106469	peak53	128.640
chr1	8877452	8878015	peak54	282.780
chr1	9189180	9189919	peak55	1119.140
chr1	9294307	9295107	peak56	167.050
chr1	9648578	9649199	peak57	136.920
chr1	10458512	10459362	peak58	1304.370
chr1	10459485	10460123	peak59	157.740
chr1	10839397	10839757	peak60	140.460
chr1	10895680	10896317	peak61	1015.200
chr1	11072501	11072925	peak62	128.720
chr1	11591303	11591788	peak63	182.850
chr1	11723942	11724468	peak64	170.500
chr1	11740727	11741861	peak65	575.470
chr1	11796277	11797245	peak66	275.320
chr1	11856501	11856856	peak67	137.920
chr1	11969483	11970065	peak68	112.850
chr1	12040019	12040740	peak69	215.630
chr1	12251149	12251982	peak70	253.050
chr1	12538046	12538709	peak71	301.960
chr1	15354374	15355063	peak72	687.870
