chr10	13141511	13142015	159.230	13142082	13142302	+	OPTN
chr11	27380736	27381088	161.950	27379088	27378950	-	CCDC34
chr12	6756352	6756769	147.330	6755743	6755649	-	ACRBP
chr12	6756352	6756769	147.330	6756178	6755960	-	ACRBP
chr13	24463360	24463846	254.060	24464139	24464181	+	C1QTNF9B-AS1
chr14	100070406	100071031	117.360	100070296	100070294	-	CCDC85C
chr15	72523275	72523983	174.140	72522063	72521888	-	PKM2
chr16	67184131	67184812	149.650	67183182	67183180	-	B3GNT9
chr17	7122945	7123685	730.840	7123783	7123848	+	ACADVL
chr17	7122945	7123685	730.840	7123923	7123995	+	ACADVL
chr17	7122945	7123685	730.840	7124085	7124149	+	ACADVL
chr17	7122945	7123685	730.840	7124243	7124377	+	ACADVL
chr17	7122945	7123685	730.840	7124857	7125001	+	ACADVL
chr17	7122945	7123685	730.840	7121958	7121860	-	DLG4
chr17	7122945	7123685	730.840	7122168	7122166	-	DLG4
chr18	19320704	19321243	125.190	19321545	19321773	+	MIB1
chr19	38864900	38865843	816.250	38866800	38866872	+	PSMD8
chr22	44893575	44893982	146.850	44892719	44892717	-	LDOC1L
chr22	44893575	44893982	146.850	44893436	44893434	-	LDOC1L
chr9	136574325	136574689	110.020	136573550	136573409	-	SARDH
chrX	39957516	39957957	207.230	39956719	39956468	-	BCOR
